clean_text,likes,shares,comments,sentiment_score,contains_link,contains_hashtag,platform_encoded,device_encoded,verified_encoded,target
natural spring water prevents covid,254,141,83,0.33,0,0,2,2,1,1
studies show water quality impacts health,137,60,0,0.64,0,0,1,2,1,1
public toilets improve hygiene in kampala,291,45,53,0.48,1,0,3,0,1,0
vaccines in water are used to track people,26,31,57,0.35,1,0,1,4,1,1
clean water access has improved in rural kenya,80,14,69,1.2,0,1,0,2,1,0
mobile apps now report safe borehole locations,278,43,82,0.35,0,1,3,0,0,0
drinking bottled water causes kidney failure,291,144,17,0.4,1,1,0,1,0,1
filtered water removes essential nutrients,16,53,5,0.23,1,0,3,3,0,1
ngos distribute water purification tablets,112,43,44,0.04,0,1,2,1,0,0
more east african homes now use filtration,202,97,96,0.34,1,1,1,1,0,0
experts debate the safety of boiling water,250,4,22,0.19,1,0,0,0,0,0
solar disinfection of water proves effective,71,108,22,0.94,1,1,3,1,0,0
east african communities adopt water filtration,26,26,25,1.12,0,0,1,2,0,0
sanitation drives are working in rural areas,180,115,76,0.28,1,1,0,1,1,0
safe sanitation is key to public health,34,86,6,0.24,1,1,2,1,0,0
solar disinfection of water proves effective,260,103,78,-0.04,0,0,3,3,0,0
experts debate the safety of boiling water,262,122,43,-0.29,0,1,0,0,1,0
proper handwashing reduces cholera outbreaks,216,78,26,0.68,1,1,0,4,1,0
rainwater harvesting gains popularity in uganda,38,42,25,0.19,0,1,2,2,0,0
soap brands contain microchips for surveillance,126,96,96,1.2,0,0,3,3,1,1
public toilets improve hygiene in kampala,291,30,78,0.16,1,1,1,1,1,0
sanitizer causes infertility experts say,153,98,35,0.4,1,0,0,3,0,1
boiled water increases blood acidity,34,16,54,0.5,1,1,3,1,0,1
clean water access has improved in rural kenya,165,82,63,0.36,1,0,3,2,0,0
filtered water removes essential nutrients,82,109,90,-0.09,1,0,2,0,0,1
boiled water increases blood acidity,129,31,56,0.25,1,1,0,2,0,1
new who guidelines promote water boiling,102,140,68,-0.08,1,1,1,2,0,0
mobile apps now report safe borehole locations,95,34,60,0.44,1,1,0,4,0,0
rainwater harvesting gains popularity in uganda,127,132,1,-0.01,1,1,0,3,1,0
ngos distribute water purification tablets,242,28,54,0.6,1,0,1,2,1,0
mobile apps now report safe borehole locations,208,69,96,0.7,1,0,3,1,1,0
ngos distribute water purification tablets,215,94,79,0.78,0,1,0,2,1,0
clean water access has improved in rural kenya,156,21,86,-0.09,1,0,3,1,0,0
local programs claim sanitation success,280,68,37,-0.01,1,0,2,0,1,0
using soap daily can cause skin cancer,148,88,79,0.38,0,0,3,4,1,1
solar disinfection of water proves effective,190,71,77,-0.17,0,0,1,1,0,0
unicef supports safe water projects in ethiopia,39,128,28,0.17,1,1,1,2,0,0
tap water linked to reduced iq,66,86,25,0.65,1,0,2,2,1,1
proper handwashing reduces cholera outbreaks,241,95,34,0.32,1,1,3,1,1,0
water kiosks now serve clean water in nairobi,155,74,78,0.72,0,1,0,3,1,0
new who guidelines promote water boiling,57,53,66,0.52,1,1,2,4,0,0
sanitation drives are working in rural areas,203,87,86,-0.25,1,1,1,2,0,0
sanitizer causes infertility experts say,233,53,28,0.58,0,0,3,2,1,1
experts debate the safety of boiling water,145,15,33,0.18,0,1,1,3,1,0
unknown,31,98,96,0.18,0,0,0,0,0,1
new who guidelines promote water boiling,15,19,40,0.11,1,1,2,2,1,0
new who guidelines promote water boiling,213,45,40,0.2,0,0,2,2,1,0
local programs claim sanitation success,248,126,22,0.11,0,0,1,2,0,0
unicef supports safe water projects in ethiopia,194,57,70,0.46,1,1,2,2,0,0
solar disinfection of water proves effective,229,110,2,0.73,1,1,3,0,0,0
soap brands contain microchips for surveillance,125,128,57,0.58,1,0,3,1,0,1
experts debate the safety of boiling water,58,80,31,0.75,0,0,1,3,0,1
public toilets improve hygiene in kampala,182,83,30,0.63,0,1,1,0,1,0
drinking bottled water causes kidney failure,91,69,81,0.48,0,1,2,0,0,1
rainwater is safer than treated tap water,54,7,42,0.3,1,1,1,1,0,1
studies show water quality impacts health,29,28,6,1.11,1,1,3,1,0,0
rainwater harvesting gains popularity in uganda,230,111,0,1.51,1,0,0,3,1,0
public toilets improve hygiene in kampala,132,130,60,1.33,1,0,3,1,1,0
clean water access has improved in rural kenya,243,107,13,0.64,1,1,2,2,1,0
ngos distribute water purification tablets,230,108,51,-0.05,1,0,1,1,0,0
experts debate the safety of boiling water,12,19,95,-0.04,1,0,1,3,0,0
ngos distribute water purification tablets,191,72,5,0.67,1,1,1,1,0,0
more east african homes now use filtration,215,3,9,0.46,1,0,2,1,0,0
mobile apps now report safe borehole locations,49,18,70,0.7,0,0,0,3,0,0
tap water linked to reduced iq,68,101,89,0.74,0,1,2,2,0,1
soap brands contain microchips for surveillance,71,140,97,0.21,1,0,3,4,0,1
proper handwashing reduces cholera outbreaks,141,140,29,1.03,0,0,0,0,0,0
natural spring water prevents covid,69,85,99,-0.28,1,0,1,2,1,1
unknown,131,51,20,0.36,1,1,3,1,0,0
tap water linked to reduced iq,116,110,59,0.12,1,0,1,3,1,1
studies show water quality impacts health,105,108,80,0.52,1,1,0,2,0,0
sanitizer causes infertility experts say,244,85,96,0.45,0,1,2,0,0,1
experts debate the safety of boiling water,71,42,73,0.04,0,0,3,0,0,1
safe sanitation is key to public health,265,41,62,0.68,0,1,2,2,0,0
experts debate the safety of boiling water,58,89,41,0.49,0,1,3,2,1,0
experts debate the safety of boiling water,168,114,50,0.6,0,1,1,2,1,0
studies show water quality impacts health,133,25,63,0.11,1,0,1,3,0,0
unknown,216,42,75,-0.33,1,0,2,2,0,1
water kiosks now serve clean water in nairobi,57,76,55,0.83,1,0,1,2,1,0
safe sanitation is key to public health,145,136,79,-0.21,1,0,0,3,1,0
east african communities adopt water filtration,210,19,40,0.22,1,1,0,0,1,0
studies show water quality impacts health,259,38,31,0.58,0,0,0,2,1,0
clean water access has improved in rural kenya,218,11,14,-0.09,1,1,0,4,0,0
filtered water removes essential nutrients,220,10,61,-0.62,0,0,3,1,1,1
east african communities adopt water filtration,201,41,26,0.73,1,1,3,2,1,0
boiling water damages your organs,53,10,27,-0.4,0,0,0,2,0,1
clean water access has improved in rural kenya,38,37,80,0.73,0,0,3,1,1,0
clean water access has improved in rural kenya,68,97,63,0.41,1,1,0,2,0,0
using soap daily can cause skin cancer,80,18,58,0.11,0,1,2,2,0,1
more east african homes now use filtration,101,133,57,-0.46,1,0,3,2,0,0
public toilets improve hygiene in kampala,274,115,1,0.34,1,1,0,1,1,0
ngos distribute water purification tablets,229,112,35,0.25,1,1,0,2,0,0
sanitation drives are working in rural areas,224,64,70,-0.17,0,1,2,1,0,0
sanitation drives are working in rural areas,286,98,12,0.2,0,0,2,2,0,0
studies show water quality impacts health,73,71,14,-0.21,0,1,1,2,1,1
unknown,254,51,88,-0.26,0,1,0,2,1,1
boiling water damages your organs,71,117,86,-0.07,1,0,1,2,1,1
soap brands contain microchips for surveillance,179,119,59,-0.64,0,0,3,1,1,1
local programs claim sanitation success,278,6,21,0.25,1,1,0,2,1,0
local programs claim sanitation success,276,10,62,-0.38,0,1,0,2,0,0
clean water access has improved in rural kenya,63,102,89,0.76,1,1,3,2,1,0
rainwater harvesting gains popularity in uganda,25,60,96,0.68,0,0,2,2,0,0
ngos distribute water purification tablets,17,67,74,-0.37,0,0,0,0,1,0
experts debate the safety of boiling water,113,139,73,1.3,1,0,2,2,1,0
sanitizer causes infertility experts say,68,101,24,-0.37,1,1,0,2,1,1
ngos distribute water purification tablets,49,109,47,0.11,1,1,1,3,1,0
mobile apps now report safe borehole locations,246,139,42,0.36,1,1,2,1,1,0
clean water access has improved in rural kenya,103,50,37,-0.02,0,0,1,0,0,0
experts debate the safety of boiling water,231,116,40,0.09,1,1,0,3,1,1
unknown,213,45,44,0.38,0,1,1,3,1,0
new who guidelines promote water boiling,147,52,87,-0.36,0,0,0,0,0,0
water kiosks now serve clean water in nairobi,216,87,39,-0.19,1,0,0,1,1,0
safe sanitation is key to public health,90,120,96,0.81,0,0,1,3,0,0
local programs claim sanitation success,227,12,16,0.44,1,1,0,1,1,0
drinking bottled water causes kidney failure,11,88,87,0.59,0,1,3,3,0,1
solar disinfection of water proves effective,187,124,56,1.26,1,0,0,2,1,0
water kiosks now serve clean water in nairobi,288,117,1,-0.34,1,0,0,2,1,0
solar disinfection of water proves effective,155,53,95,-0.24,0,0,3,1,0,0
sanitation drives are working in rural areas,233,115,61,0.03,1,1,2,3,1,0
new who guidelines promote water boiling,71,117,87,0.21,1,1,3,1,1,0
experts debate the safety of boiling water,248,3,8,-0.75,1,0,3,0,0,0
new who guidelines promote water boiling,204,74,67,0.48,0,0,3,1,1,0
sanitation drives are working in rural areas,175,48,80,0.79,1,0,3,3,0,0
face masks cause water contamination when washed,231,6,16,-0.13,0,1,2,3,0,1
solar disinfection of water proves effective,70,109,49,0.91,0,1,0,2,1,0
studies show water quality impacts health,138,121,93,0.72,0,0,1,3,1,0
tap water linked to reduced iq,182,10,39,-0.46,0,1,2,0,1,1
sanitation drives are working in rural areas,165,91,57,0.06,0,1,2,2,1,0
unicef supports safe water projects in ethiopia,119,22,74,0.62,0,1,0,3,1,0
local programs claim sanitation success,278,27,84,0.29,0,1,3,1,0,1
mobile apps now report safe borehole locations,287,110,20,0.6,1,1,3,2,0,0
unknown,83,56,17,-0.51,0,1,2,3,0,1
more east african homes now use filtration,216,25,54,0.06,1,0,1,2,1,0
chlorinated water is a government mind control tactic,288,53,28,-1.01,1,1,3,1,0,1
mobile apps now report safe borehole locations,213,28,23,0.24,0,0,2,1,0,0
clean water access has improved in rural kenya,170,96,73,0.54,1,1,1,1,0,0
rainwater harvesting gains popularity in uganda,37,13,16,0.0,0,1,1,2,0,0
solar disinfection of water proves effective,266,77,17,0.46,0,1,1,3,1,0
boiled water increases blood acidity,174,34,41,-0.22,0,1,1,0,1,1
experts debate the safety of boiling water,72,29,83,0.29,0,1,2,1,0,0
unknown,31,91,44,0.51,0,0,2,3,1,0
rainwater is safer than treated tap water,79,16,81,1.3,0,0,1,1,1,1
sanitation drives are working in rural areas,105,92,16,0.09,0,1,3,3,0,0
local programs claim sanitation success,172,78,72,-0.42,1,1,3,3,1,1
drinking bottled water causes kidney failure,88,109,13,0.31,0,1,2,2,0,1
safe sanitation is key to public health,14,101,48,0.72,1,0,1,3,0,0
rainwater harvesting gains popularity in uganda,129,105,28,0.76,0,1,1,2,0,0
solar disinfection of water proves effective,187,46,94,0.27,1,1,2,1,0,0
rainwater harvesting gains popularity in uganda,185,63,3,-0.18,1,1,2,3,0,0
face masks cause water contamination when washed,226,63,81,0.33,0,0,2,2,1,1
water kiosks now serve clean water in nairobi,65,86,19,0.8,0,0,0,3,1,0
soap brands contain microchips for surveillance,196,6,46,-0.34,0,1,0,2,1,1
clean water access has improved in rural kenya,241,21,8,0.13,0,1,1,2,1,0
studies show water quality impacts health,264,80,76,-0.21,1,1,0,3,1,1
unicef supports safe water projects in ethiopia,113,73,78,0.51,0,1,3,4,0,0
unknown,86,137,26,0.74,0,1,1,4,0,0
local programs claim sanitation success,239,134,14,-0.03,0,1,0,1,1,0
vaccines in water are used to track people,267,124,91,0.45,1,0,1,3,1,1
proper handwashing reduces cholera outbreaks,273,49,18,-0.03,1,1,3,1,1,0
face masks cause water contamination when washed,191,51,89,0.1,1,1,3,0,0,1
public toilets improve hygiene in kampala,265,0,51,0.79,0,0,1,0,1,0
rainwater harvesting gains popularity in uganda,47,3,25,0.88,0,1,0,1,0,0
mobile apps now report safe borehole locations,185,144,88,0.26,1,0,1,4,0,0
sanitation drives are working in rural areas,36,131,25,-0.11,0,1,3,2,1,0
public toilets improve hygiene in kampala,285,3,25,0.69,0,0,0,0,1,0
boiling water damages your organs,149,0,45,-0.1,1,1,0,2,1,1
chlorinated water is a government mind control tactic,296,70,91,0.56,0,0,2,0,0,1
unknown,100,34,48,-0.12,0,1,1,0,0,1
vaccines in water are used to track people,70,7,81,1.0,0,1,3,1,1,1
public toilets improve hygiene in kampala,172,35,95,0.79,0,0,3,1,1,0
experts debate the safety of boiling water,152,122,52,0.65,0,1,1,2,0,0
sanitation drives are working in rural areas,262,42,2,1.24,0,1,1,2,0,0
western ngos poison wells to reduce population,278,26,65,0.51,0,1,3,1,0,1
proper handwashing reduces cholera outbreaks,196,31,96,0.39,0,1,3,1,0,0
solar disinfection of water proves effective,95,77,41,0.26,1,1,1,1,0,0
proper handwashing reduces cholera outbreaks,175,120,18,1.03,1,1,1,2,1,0
clean water access has improved in rural kenya,123,145,16,0.17,0,1,0,0,1,0
experts debate the safety of boiling water,192,15,32,-0.8,0,0,2,0,0,1
boiling water damages your organs,216,98,75,0.69,0,0,3,1,1,1
water kiosks now serve clean water in nairobi,265,46,48,0.53,1,1,0,0,0,0
rainwater is safer than treated tap water,244,30,55,-0.24,1,0,1,2,0,1
sanitation drives are working in rural areas,12,3,62,1.24,1,1,2,2,1,0
unknown,217,16,2,-0.15,1,0,3,0,1,0
unicef supports safe water projects in ethiopia,206,38,48,0.3,1,1,2,1,1,0
sanitation drives are working in rural areas,134,47,54,-0.13,1,0,0,3,1,0
new who guidelines promote water boiling,147,38,25,-0.11,1,1,1,2,1,0
sanitizer causes infertility experts say,34,131,98,0.32,1,0,0,2,1,1
east african communities adopt water filtration,77,29,71,0.01,0,1,2,0,0,0
drinking bottled water causes kidney failure,70,21,51,0.96,0,0,0,2,0,1
solar disinfection of water proves effective,38,65,99,-0.33,1,0,0,1,1,0
rainwater harvesting gains popularity in uganda,28,107,6,0.5,1,0,1,0,0,0
mobile apps now report safe borehole locations,180,11,45,0.7,1,1,1,2,0,0
water kiosks now serve clean water in nairobi,83,35,45,0.12,0,1,2,1,1,0
east african communities adopt water filtration,70,17,99,0.34,1,1,2,2,1,0
rainwater is safer than treated tap water,162,89,15,-0.22,0,0,0,3,1,1
mobile apps now report safe borehole locations,285,0,23,0.79,0,1,3,2,1,0
proper handwashing reduces cholera outbreaks,57,126,60,0.94,0,0,0,3,1,0
ngos distribute water purification tablets,220,89,53,0.31,0,1,2,1,1,0
tap water linked to reduced iq,148,86,61,0.37,1,0,0,0,0,1
new who guidelines promote water boiling,119,89,0,0.63,0,1,1,0,1,0
mobile apps now report safe borehole locations,192,133,48,0.06,1,1,0,1,0,0
public toilets improve hygiene in kampala,37,69,24,0.31,1,0,1,2,1,0
unicef supports safe water projects in ethiopia,206,43,9,-0.01,0,0,3,0,1,0
ngos distribute water purification tablets,200,85,79,0.15,0,1,1,2,1,0
unicef supports safe water projects in ethiopia,60,18,15,1.13,1,1,3,3,1,0
more east african homes now use filtration,158,100,57,0.78,0,0,3,3,1,0
natural spring water prevents covid,277,145,71,-0.6,1,0,0,1,1,1
experts debate the safety of boiling water,59,94,28,0.22,1,1,2,1,0,0
new who guidelines promote water boiling,255,100,91,0.16,0,1,2,2,1,0
safe sanitation is key to public health,122,29,5,-0.25,0,0,0,0,0,0
experts debate the safety of boiling water,179,32,15,-0.02,0,1,3,4,1,0
vaccines in water are used to track people,175,11,19,0.41,0,0,2,3,0,1
experts debate the safety of boiling water,23,117,79,-0.27,0,1,1,2,1,0
water kiosks now serve clean water in nairobi,212,93,70,1.01,0,0,2,2,1,0
boiled water increases blood acidity,297,136,77,-0.47,0,0,3,2,0,1
solar disinfection of water proves effective,198,148,42,0.27,1,0,3,3,0,0
ngos distribute water purification tablets,164,75,25,0.26,1,0,1,3,1,0
